short_name,value_eur,overall,player_positions,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,nationality
A. Zaccagno,750000,65,GK,65.0,62.0,48.0,70.0,25.0,65.0,Italy
A. Vlad,750000,65,GK,64.0,67.0,64.0,68.0,24.0,61.0,Romania
M. O'Leary,675000,65,GK,69.0,64.0,61.0,69.0,44.0,63.0,England
J. Vickers,675000,65,GK,67.0,63.0,60.0,65.0,43.0,62.0,England
C. Trueman,675000,65,GK,66.0,64.0,61.0,68.0,45.0,63.0,England
Javi Díaz,675000,65,GK,67.0,61.0,65.0,68.0,57.0,63.0,Spain
P. Bastianello,700000,65,GK,64.0,66.0,58.0,66.0,36.0,63.0,Italy
Samu Pérez,675000,65,GK,66.0,66.0,63.0,74.0,25.0,62.0,Spain
L. Maniero,625000,65,GK,65.0,66.0,60.0,67.0,40.0,65.0,Italy
S. Londoño,625000,65,GK,66.0,62.0,58.0,66.0,45.0,65.0,Colombia
S. Kroll,625000,65,GK,66.0,63.0,59.0,67.0,37.0,63.0,Germany
N. Medvedev,625000,65,GK,62.0,69.0,62.0,63.0,27.0,64.0,Russia
Álex Craninx,625000,65,GK,67.0,65.0,63.0,64.0,36.0,63.0,Belgium
M. Paes,625000,65,GK,67.0,61.0,61.0,66.0,26.0,64.0,Netherlands
Wellington,625000,65,GK,66.0,63.0,58.0,71.0,20.0,61.0,Brazil
N. Baumann,625000,65,GK,66.0,62.0,65.0,69.0,23.0,63.0,Switzerland
Vitor Caetano,625000,65,GK,66.0,64.0,66.0,66.0,30.0,62.0,Brazil
Raphael Aflalo,625000,65,GK,62.0,65.0,66.0,67.0,24.0,66.0,Brazil
Aarón,575000,65,GK,63.0,67.0,59.0,65.0,37.0,62.0,Spain
T. Loska,575000,65,GK,66.0,62.0,54.0,70.0,37.0,63.0,Poland
J. Graterol,0,65,GK,67.0,71.0,63.0,65.0,18.0,67.0,Venezuela
M. Ingram,550000,65,GK,69.0,64.0,62.0,68.0,37.0,63.0,England
O. Kocuk,550000,65,GK,66.0,68.0,61.0,68.0,34.0,62.0,Turkey
Marco,550000,65,GK,70.0,63.0,59.0,66.0,38.0,61.0,Portugal
E. Oelschlägel,550000,65,GK,67.0,60.0,54.0,69.0,41.0,61.0,Germany
A. Cairns,525000,65,GK,64.0,61.0,58.0,68.0,48.0,65.0,England
J. Alnwick,525000,65,GK,66.0,65.0,61.0,66.0,48.0,64.0,England
P. Camara,525000,65,GK,74.0,61.0,59.0,66.0,50.0,60.0,Senegal
C. Pym,550000,65,GK,66.0,63.0,65.0,69.0,46.0,64.0,England
M. Sayouba,525000,65,GK,66.0,62.0,61.0,68.0,43.0,63.0,Ivory Coast
N. Avellaneda,525000,65,GK,64.0,63.0,63.0,67.0,49.0,64.0,Argentina
M. Goblet,550000,65,GK,70.0,58.0,56.0,72.0,50.0,57.0,Belgium
D. Hładun,550000,65,GK,64.0,65.0,62.0,67.0,34.0,63.0,Poland
T. Knoflach,525000,65,GK,66.0,60.0,61.0,71.0,47.0,65.0,Austria
G. Rehak,525000,65,GK,65.0,64.0,60.0,63.0,31.0,65.0,Argentina
B. Bvuma,550000,65,GK,65.0,69.0,62.0,63.0,33.0,63.0,South Africa
Ricardo Friedrich,525000,65,GK,66.0,62.0,64.0,66.0,28.0,64.0,Brazil
L. Koopmans,500000,65,GK,64.0,63.0,63.0,65.0,39.0,64.0,Netherlands
P. Perina,500000,65,GK,68.0,67.0,66.0,66.0,33.0,66.0,Italy
L. Hägg-Johansson,525000,65,GK,66.0,62.0,64.0,65.0,39.0,64.0,Sweden
J. Wallens,500000,65,GK,62.0,65.0,59.0,65.0,41.0,69.0,Colombia
Samuel Portugal,525000,65,GK,67.0,64.0,58.0,67.0,43.0,62.0,Brazil
E. Kardeşler,525000,65,GK,64.0,63.0,61.0,65.0,41.0,67.0,Turkey
A. Jug,475000,65,GK,66.0,61.0,59.0,64.0,51.0,64.0,Slovenia
Z. Alomerović,500000,65,GK,64.0,62.0,63.0,68.0,37.0,63.0,Serbia
J. Kempin,475000,65,GK,67.0,65.0,68.0,66.0,57.0,64.0,United States
M. Lampson,450000,65,GK,64.0,65.0,66.0,66.0,45.0,66.0,United States
F. Oswald,475000,65,GK,66.0,64.0,62.0,64.0,23.0,66.0,Germany
M. Oxley,450000,65,GK,66.0,64.0,65.0,67.0,29.0,65.0,England
G. Allison,450000,65,GK,64.0,66.0,65.0,62.0,35.0,65.0,Mexico
J. Bendik,425000,65,GK,67.0,62.0,63.0,65.0,35.0,63.0,United States
P. Delecroix,425000,65,GK,64.0,65.0,62.0,65.0,27.0,66.0,France
P. Wiegers,450000,65,GK,65.0,66.0,61.0,68.0,45.0,59.0,Germany
Bruno,450000,65,GK,72.0,58.0,73.0,67.0,44.0,63.0,Brazil
C. Irwin,425000,65,GK,66.0,64.0,64.0,64.0,46.0,63.0,United States
D. Stipica,450000,65,GK,68.0,64.0,64.0,66.0,24.0,67.0,Croatia
H. Opdal,50000,65,GK,62.0,63.0,64.0,66.0,41.0,64.0,Norway
M. Langer,240000,65,GK,64.0,62.0,60.0,65.0,32.0,67.0,Austria
A. Lonergan,150000,65,GK,65.0,62.0,52.0,67.0,41.0,65.0,England
S. Andersen,50000,65,GK,64.0,65.0,65.0,64.0,40.0,63.0,Denmark
S. Brown,240000,65,GK,65.0,63.0,60.0,63.0,51.0,65.0,England
J. Szmatuła,50000,65,GK,62.0,63.0,66.0,64.0,32.0,66.0,Poland
T. Černý,240000,65,GK,63.0,63.0,60.0,64.0,42.0,65.0,Czech Republic
I. Vázquez,90000,65,GK,65.0,66.0,60.0,67.0,43.0,65.0,Mexico
M. Hernández,90000,65,GK,65.0,62.0,66.0,69.0,25.0,66.0,Mexico
C. Doyle,240000,65,GK,66.0,67.0,63.0,63.0,32.0,64.0,Republic of Ireland
M. Caranta,50000,65,GK,54.0,69.0,66.0,62.0,48.0,67.0,Argentina
G. Faivre,325000,65,GK,64.0,66.0,62.0,64.0,36.0,68.0,Switzerland
E. Palos,290000,65,GK,65.0,51.0,54.0,68.0,44.0,70.0,Mexico
Z. Zlámal,290000,65,GK,67.0,62.0,67.0,75.0,60.0,57.0,Czech Republic
F. Assmann,290000,65,GK,71.0,55.0,67.0,69.0,52.0,66.0,Argentina
C. Gönen,350000,65,GK,69.0,62.0,65.0,67.0,46.0,63.0,Turkey
D. Bassi,240000,65,GK,65.0,61.0,58.0,66.0,37.0,66.0,Italy
D. Bouzanis,400000,65,GK,65.0,62.0,66.0,64.0,60.0,64.0,Australia
A. Lukse,350000,65,GK,66.0,62.0,60.0,68.0,40.0,64.0,Austria
Wu Yan,375000,65,GK,61.0,62.0,58.0,69.0,48.0,68.0,China PR
J. Leutwiler,375000,65,GK,65.0,62.0,63.0,67.0,46.0,66.0,Canada
A. Stolz,150000,65,GK,69.0,67.0,66.0,63.0,45.0,63.0,Germany
M. Gliwa,350000,65,GK,64.0,62.0,62.0,67.0,29.0,66.0,Poland
M. Buchalik,375000,65,GK,65.0,62.0,60.0,67.0,33.0,67.0,Poland
T. Mickel,375000,65,GK,65.0,62.0,65.0,66.0,47.0,62.0,Germany
P. Branduani,375000,65,GK,62.0,67.0,60.0,66.0,55.0,65.0,Italy
M. Schulze Niehues,375000,65,GK,64.0,66.0,62.0,63.0,40.0,66.0,Germany
Dani Barrio,325000,65,GK,66.0,65.0,62.0,70.0,49.0,65.0,Spain
M. Malaeka,290000,65,GK,65.0,64.0,66.0,67.0,47.0,63.0,Saudi Arabia
Iván Crespo,240000,65,GK,64.0,70.0,57.0,65.0,33.0,66.0,Spain
S. López,290000,65,GK,62.0,65.0,56.0,62.0,46.0,64.0,Argentina
F. Hurtado,90000,65,GK,65.0,66.0,62.0,67.0,45.0,63.0,Chile
L. Giovini,50000,65,GK,63.0,62.0,62.0,63.0,49.0,68.0,Argentina
L. Delgado,50000,65,GK,60.0,62.0,64.0,64.0,48.0,69.0,Colombia
J. Deschamps,150000,65,GK,66.0,61.0,63.0,61.0,45.0,65.0,Chile
Liu Dianzuo,375000,65,GK,64.0,64.0,72.0,65.0,45.0,62.0,China PR
S. Ichazo,375000,65,GK,63.0,63.0,67.0,64.0,45.0,64.0,Uruguay
N. Vidmar,0,65,GK,65.0,66.0,64.0,61.0,46.0,69.0,Slovenia
Y. Rokutan,325000,65,GK,64.0,66.0,58.0,63.0,33.0,63.0,Japan
S. Arai,375000,65,GK,66.0,62.0,58.0,66.0,49.0,64.0,Japan
D. Akpeyi,290000,65,GK,66.0,67.0,68.0,65.0,24.0,70.0,Nigeria
M. Chudý,375000,65,GK,64.0,68.0,60.0,64.0,23.0,63.0,Slovakia
V. Rîmniceanu,375000,65,GK,64.0,61.0,63.0,65.0,32.0,65.0,Romania
K. Grabara,850000,64,GK,66.0,63.0,65.0,62.0,39.0,64.0,Poland
Iñaki Peña,850000,64,GK,65.0,60.0,65.0,65.0,30.0,61.0,Spain
Moha Ramos,825000,64,GK,60.0,64.0,62.0,65.0,27.0,64.0,Spain
M. Travers,850000,64,GK,65.0,64.0,62.0,64.0,31.0,63.0,Republic of Ireland
U. Adıyaman,725000,64,GK,67.0,58.0,57.0,68.0,48.0,60.0,Turkey
L. Grill,725000,64,GK,63.0,61.0,60.0,64.0,41.0,63.0,Germany
João Valido,700000,64,GK,67.0,62.0,57.0,65.0,26.0,61.0,Portugal
D. Bertaud,650000,64,GK,67.0,60.0,56.0,70.0,52.0,59.0,France
D. Nikolić,650000,64,GK,63.0,68.0,60.0,66.0,24.0,63.0,Serbia
M. Nicolas,650000,64,GK,68.0,65.0,62.0,65.0,22.0,59.0,Germany
Diogo Sousa,650000,64,GK,65.0,62.0,57.0,65.0,30.0,60.0,Portugal
D. Rosic,650000,64,GK,60.0,62.0,68.0,66.0,31.0,65.0,Serbia
L. Zigi,625000,64,GK,66.0,60.0,58.0,68.0,38.0,62.0,Ghana
Song Bum Keun,625000,64,GK,65.0,61.0,63.0,64.0,26.0,64.0,Korea Republic
T. Müller,625000,64,GK,67.0,59.0,61.0,68.0,32.0,61.0,Germany
Adrián López,625000,64,GK,62.0,60.0,62.0,68.0,29.0,66.0,Spain
M. Rudakov,575000,64,GK,66.0,59.0,61.0,68.0,33.0,61.0,Russia
S. Hernández,575000,64,GK,64.0,67.0,62.0,64.0,26.0,65.0,Mexico
Alberto González,575000,64,GK,63.0,66.0,54.0,62.0,27.0,67.0,Spain
M. Lis,550000,64,GK,68.0,58.0,55.0,70.0,27.0,63.0,Poland
N. Kocik,550000,64,GK,63.0,62.0,63.0,64.0,39.0,66.0,France
Nuno Macedo,550000,64,GK,65.0,63.0,68.0,65.0,35.0,63.0,Portugal
A. Jakubech,550000,64,GK,64.0,62.0,63.0,66.0,40.0,62.0,Slovakia
J. Mitchell,500000,64,GK,63.0,62.0,63.0,65.0,51.0,63.0,England
L. McGee,500000,64,GK,69.0,59.0,53.0,70.0,39.0,59.0,England
B. Collins,500000,64,GK,65.0,60.0,63.0,67.0,43.0,61.0,England
F. Buntić,500000,64,GK,67.0,62.0,60.0,64.0,25.0,63.0,Croatia
O. Christensen,525000,64,GK,65.0,63.0,63.0,65.0,36.0,64.0,Denmark
A. Dini,500000,64,GK,64.0,62.0,59.0,67.0,28.0,66.0,Italy
C. Hazard,525000,64,GK,64.0,65.0,64.0,66.0,25.0,66.0,Northern Ireland
A. Spahic,500000,64,GK,63.0,62.0,60.0,66.0,29.0,69.0,Bosnia Herzegovina
W. Falcone,475000,64,GK,65.0,64.0,65.0,68.0,27.0,64.0,Italy
Ander Cantero,475000,64,GK,56.0,69.0,59.0,64.0,55.0,68.0,Spain
S. Román,475000,64,GK,63.0,58.0,59.0,72.0,44.0,66.0,Colombia
Carlos Miguel,475000,64,GK,69.0,59.0,64.0,65.0,27.0,66.0,Brazil
R. Sánchez,450000,64,GK,70.0,59.0,63.0,68.0,43.0,59.0,Mexico
U. Saracco,450000,64,GK,64.0,62.0,57.0,70.0,45.0,61.0,Italy
G. Gazzaniga,450000,64,GK,66.0,64.0,63.0,61.0,51.0,62.0,Argentina
R. Piscitelli,450000,64,GK,64.0,65.0,53.0,66.0,42.0,64.0,Italy
T. Demirtaş,450000,64,GK,66.0,62.0,60.0,66.0,22.0,67.0,Turkey
J. Bond,450000,64,GK,65.0,61.0,61.0,64.0,47.0,62.0,England
J. Houwen,450000,64,GK,65.0,63.0,62.0,67.0,44.0,60.0,Netherlands
A. Maisonnial,450000,64,GK,65.0,66.0,62.0,68.0,63.0,60.0,France
Y. Aygün,450000,64,GK,65.0,64.0,59.0,65.0,47.0,63.0,Turkey
E. Vaessen,450000,64,GK,65.0,62.0,58.0,67.0,36.0,64.0,Netherlands
E. Johansen,425000,64,GK,60.0,63.0,65.0,69.0,28.0,61.0,Norway
D. Léon,425000,64,GK,61.0,62.0,60.0,68.0,47.0,63.0,France
M. Van Damme,425000,64,GK,65.0,61.0,61.0,67.0,49.0,59.0,Belgium
D. Węglarz,425000,64,GK,63.0,64.0,59.0,67.0,33.0,62.0,Poland
M. Maroši,425000,64,GK,63.0,62.0,65.0,64.0,41.0,62.0,Slovakia
David Gil,425000,64,GK,66.0,68.0,67.0,63.0,47.0,59.0,Spain
M. Fraisl,425000,64,GK,64.0,61.0,59.0,66.0,41.0,61.0,Austria
I. Çipe,425000,64,GK,63.0,66.0,64.0,64.0,45.0,64.0,Turkey
Milton Raphael,400000,64,GK,64.0,62.0,65.0,64.0,25.0,65.0,Brazil
S. Walker,400000,64,GK,66.0,63.0,58.0,65.0,43.0,65.0,England
I. Gelios,400000,64,GK,66.0,60.0,54.0,72.0,45.0,62.0,Greece
Pol,400000,64,GK,62.0,69.0,59.0,64.0,48.0,60.0,Spain
M. Kuttin,425000,64,GK,65.0,60.0,69.0,66.0,35.0,61.0,Austria
E. Mastrolía,400000,64,GK,64.0,60.0,61.0,63.0,47.0,69.0,Argentina
A. Mosquera,400000,64,GK,67.0,58.0,60.0,67.0,43.0,62.0,Colombia
Emanuel Novo,400000,64,GK,66.0,62.0,55.0,68.0,17.0,60.0,Portugal
D. Petković,400000,64,GK,65.0,62.0,62.0,66.0,42.0,65.0,Montenegro
Diogo Silva,400000,64,GK,63.0,61.0,63.0,65.0,26.0,66.0,Portugal
E. Pap,425000,64,GK,68.0,63.0,60.0,65.0,24.0,59.0,Romania
M. Birighitti,400000,64,GK,65.0,63.0,64.0,65.0,48.0,64.0,Australia
O. Söderberg,400000,64,GK,64.0,63.0,63.0,64.0,30.0,64.0,Sweden
R. Allsop,375000,64,GK,65.0,59.0,65.0,67.0,42.0,61.0,England
C. Cropper,400000,64,GK,67.0,62.0,61.0,66.0,36.0,61.0,United States
C. Diop,400000,64,GK,69.0,61.0,63.0,68.0,31.0,60.0,Senegal
P. Kühn,400000,64,GK,67.0,62.0,69.0,63.0,32.0,64.0,Germany
S. Patzler,400000,64,GK,64.0,63.0,57.0,65.0,36.0,61.0,Germany
V. Vasić,375000,64,GK,66.0,58.0,65.0,66.0,44.0,65.0,Serbia
K. Debaty,350000,64,GK,65.0,61.0,50.0,65.0,40.0,64.0,Belgium
G. Kongshavn,375000,64,GK,64.0,64.0,63.0,64.0,21.0,62.0,Norway
M. Jeannin,375000,64,GK,66.0,62.0,65.0,66.0,50.0,61.0,Algeria
B. Rowe,350000,64,GK,65.0,64.0,63.0,68.0,50.0,61.0,United States
I. Berezovskyi,375000,64,GK,67.0,62.0,58.0,64.0,27.0,62.0,Ukraine
A. Kann,375000,64,GK,64.0,62.0,62.0,62.0,43.0,66.0,United States
I. Jónsson,0,64,GK,64.0,61.0,58.0,64.0,46.0,63.0,Iceland
T. Morita,375000,64,GK,64.0,62.0,62.0,65.0,28.0,65.0,Japan
S. Takagi,350000,64,GK,61.0,62.0,74.0,68.0,47.0,60.0,Japan
D. van Crooij,375000,64,GK,66.0,65.0,60.0,63.0,22.0,65.0,Netherlands
S. Rénot,375000,64,GK,61.0,63.0,62.0,65.0,33.0,65.0,France
Park Ilgyu,375000,64,GK,61.0,58.0,64.0,69.0,38.0,64.0,Korea Republic
G. Morris,120000,64,GK,67.0,59.0,62.0,66.0,33.0,64.0,England
T. Berni,80000,64,GK,64.0,60.0,59.0,66.0,29.0,64.0,Italy
D. Haas,120000,64,GK,64.0,63.0,55.0,64.0,34.0,62.0,Germany
L. Walthert,120000,64,GK,67.0,61.0,62.0,66.0,43.0,65.0,Switzerland
C. Muñoz,50000,64,GK,64.0,63.0,66.0,61.0,55.0,64.0,Argentina
C. Vâtcă,50000,64,GK,63.0,65.0,61.0,59.0,31.0,69.0,Romania
T. Gebauer,50000,64,GK,63.0,65.0,61.0,60.0,49.0,66.0,Austria
Ricardo Batista,270000,64,GK,62.0,63.0,63.0,66.0,38.0,69.0,Portugal
J. Lillis,270000,64,GK,66.0,63.0,62.0,66.0,44.0,57.0,England
E. Hernández,80000,64,GK,71.0,54.0,60.0,66.0,57.0,63.0,Mexico
M. Gostomski,300000,64,GK,64.0,60.0,55.0,68.0,36.0,64.0,Poland
Y. De Winter,270000,64,GK,65.0,65.0,56.0,60.0,50.0,68.0,Belgium
B. Olejnik,270000,64,GK,65.0,61.0,63.0,64.0,37.0,62.0,Austria
B. Mitrev,270000,64,GK,59.0,65.0,70.0,64.0,20.0,66.0,Bulgaria
A. Legzdins,270000,64,GK,64.0,61.0,62.0,65.0,32.0,64.0,England
M. Howard,270000,64,GK,61.0,63.0,61.0,68.0,35.0,63.0,England
J. Ayala,290000,64,GK,66.0,65.0,65.0,66.0,35.0,58.0,Argentina
Cho Soo Hyuk,270000,64,GK,61.0,66.0,62.0,63.0,34.0,65.0,Korea Republic
Hong Jung Nam,290000,64,GK,65.0,63.0,62.0,62.0,36.0,64.0,Korea Republic
D. Telgenkamp,270000,64,GK,68.0,63.0,60.0,65.0,33.0,62.0,Netherlands
J. Shea,325000,64,GK,64.0,61.0,55.0,66.0,27.0,65.0,England
J. Maurer,300000,64,GK,66.0,63.0,64.0,66.0,34.0,66.0,United States
Yu Sang Hun,300000,64,GK,64.0,60.0,62.0,65.0,38.0,65.0,Korea Republic
A. Al Qarni,120000,64,GK,64.0,63.0,59.0,63.0,45.0,61.0,Saudi Arabia
B. Stuver,325000,64,GK,67.0,64.0,62.0,62.0,46.0,62.0,United States
L. Santelices,240000,64,GK,61.0,65.0,62.0,64.0,49.0,61.0,Chile
T. Murayama,290000,64,GK,69.0,62.0,76.0,64.0,37.0,60.0,Japan
Nelson Freitosa,120000,64,GK,59.0,47.0,66.0,74.0,49.0,72.0,Brazil
C. Straton,325000,64,GK,64.0,60.0,61.0,65.0,32.0,66.0,Romania
G. Chatterjee,0,64,GK,64.0,68.0,69.0,60.0,30.0,61.0,India
M. Vandevoordt,600000,63,GK,67.0,63.0,58.0,68.0,15.0,54.0,Belgium
L. Plogmann,675000,63,GK,64.0,60.0,61.0,67.0,40.0,56.0,Germany
Y. Diouf,675000,63,GK,64.0,64.0,60.0,63.0,44.0,62.0,France
L. Ureta,675000,63,GK,61.0,62.0,60.0,67.0,30.0,62.0,Chile
João Virgínia,675000,63,GK,62.0,61.0,60.0,65.0,52.0,59.0,Portugal
A. Akbulut,625000,63,GK,65.0,61.0,59.0,68.0,34.0,64.0,Turkey
R. Hoffmann,675000,63,GK,61.0,62.0,66.0,64.0,25.0,64.0,Germany
C. Sánchez,675000,63,GK,64.0,62.0,57.0,64.0,34.0,62.0,Cuba
Álex Domínguez,675000,63,GK,61.0,62.0,63.0,64.0,43.0,60.0,Spain
A. Whiteman,575000,63,GK,66.0,61.0,59.0,66.0,31.0,62.0,England
E. Ruiz,525000,63,GK,67.0,60.0,54.0,65.0,46.0,63.0,Colombia
H. Burgoyne,525000,63,GK,65.0,62.0,61.0,64.0,35.0,61.0,England
N. Bishop,525000,63,GK,64.0,62.0,61.0,64.0,21.0,63.0,England
F. Dahmen,525000,63,GK,65.0,60.0,59.0,65.0,42.0,60.0,Germany
F. Cambeses,500000,63,GK,62.0,62.0,63.0,64.0,46.0,63.0,Argentina
N. Baxter,500000,63,GK,64.0,62.0,63.0,65.0,38.0,63.0,England
U. Yuvakuran,500000,63,GK,64.0,60.0,59.0,64.0,35.0,60.0,Turkey
M. Di Gregorio,500000,63,GK,66.0,65.0,52.0,69.0,26.0,61.0,Italy
M. Aioani,500000,63,GK,64.0,60.0,61.0,65.0,24.0,62.0,Romania
Ezkieta,475000,63,GK,65.0,58.0,59.0,64.0,45.0,59.0,Spain
Juan Pérez,475000,63,GK,62.0,66.0,57.0,68.0,34.0,62.0,Spain
Q. Braat,475000,63,GK,67.0,65.0,61.0,65.0,27.0,61.0,France
Dani Cárdenas,475000,63,GK,60.0,62.0,58.0,69.0,36.0,55.0,Spain
N. Mantl,450000,63,GK,64.0,61.0,61.0,68.0,32.0,57.0,Germany
Brian Araújo,450000,63,GK,59.0,63.0,53.0,69.0,21.0,63.0,Portugal
João Gonçalves,425000,63,GK,62.0,64.0,57.0,56.0,29.0,67.0,Portugal
S. Brodersen,450000,63,GK,64.0,60.0,56.0,67.0,43.0,62.0,Germany
S. Perisan,450000,63,GK,68.0,59.0,56.0,65.0,46.0,58.0,Italy
L. García,450000,63,GK,66.0,62.0,59.0,63.0,53.0,64.0,Colombia
P. Köhn,450000,63,GK,64.0,63.0,60.0,63.0,28.0,66.0,Switzerland
L. Zidane,450000,63,GK,64.0,60.0,61.0,62.0,32.0,62.0,France
Kellyan,450000,63,GK,63.0,62.0,62.0,63.0,44.0,64.0,Spain
Fran Vieites,450000,63,GK,65.0,60.0,62.0,63.0,19.0,59.0,Spain
R. Matthys,450000,63,GK,65.0,59.0,54.0,65.0,23.0,66.0,Belgium
J. Coleman,425000,63,GK,63.0,61.0,62.0,64.0,45.0,62.0,England
N. Contini,425000,63,GK,63.0,62.0,55.0,65.0,48.0,60.0,Ukraine
I. Pomazun,425000,63,GK,62.0,64.0,68.0,66.0,38.0,60.0,Russia
Lee Tae Hee,425000,63,GK,62.0,62.0,61.0,63.0,44.0,62.0,Korea Republic
Jaume Valens,425000,63,GK,61.0,64.0,61.0,62.0,48.0,59.0,Spain
S. Müller,425000,63,GK,63.0,66.0,54.0,67.0,22.0,62.0,Germany
C. Fejér,425000,63,GK,62.0,61.0,65.0,64.0,35.0,58.0,Romania
I. Lawlor,400000,63,GK,65.0,62.0,62.0,64.0,45.0,61.0,Republic of Ireland
O. Schnitzler,400000,63,GK,62.0,60.0,65.0,65.0,42.0,62.0,Germany
M. Marić,400000,63,GK,63.0,62.0,65.0,66.0,42.0,66.0,Croatia
A. Mandrea,400000,63,GK,67.0,56.0,57.0,71.0,45.0,59.0,France
T. Schützenauer,400000,63,GK,63.0,60.0,65.0,63.0,37.0,64.0,Austria
M. Hiller,400000,63,GK,66.0,61.0,44.0,71.0,31.0,60.0,Germany
Pedro Mateus,400000,63,GK,65.0,61.0,55.0,64.0,34.0,62.0,Portugal
H. Bonmann,375000,63,GK,64.0,59.0,58.0,64.0,30.0,64.0,Germany
E. Ersu,375000,63,GK,63.0,61.0,60.0,66.0,36.0,63.0,Turkey
L. M'Pasi,375000,63,GK,62.0,61.0,64.0,66.0,46.0,60.0,France
T. Guivarch,375000,63,GK,66.0,59.0,58.0,65.0,48.0,60.0,France
C. Căbuz,375000,63,GK,62.0,63.0,61.0,63.0,22.0,63.0,Romania
J. Bonham,375000,63,GK,64.0,60.0,67.0,65.0,44.0,66.0,Republic of Ireland
J. Frick,350000,63,GK,64.0,62.0,66.0,62.0,45.0,60.0,Switzerland
T. Vincensini,375000,63,GK,62.0,62.0,56.0,65.0,57.0,61.0,France
T. Dähne,375000,63,GK,67.0,58.0,57.0,67.0,58.0,61.0,Germany
L. Brănescu,375000,63,GK,63.0,62.0,56.0,66.0,53.0,61.0,Romania
C. Guerra,375000,63,GK,62.0,58.0,59.0,61.0,41.0,65.0,Chile
P. Grazziani,350000,63,GK,64.0,61.0,58.0,65.0,42.0,63.0,Colombia
H. Konaté,350000,63,GK,64.0,60.0,62.0,68.0,53.0,58.0,Ivory Coast
Miguel Santos,350000,63,GK,66.0,64.0,62.0,64.0,21.0,64.0,Portugal
L. Jonsson,350000,63,GK,63.0,62.0,62.0,64.0,35.0,63.0,Sweden
A. Falch,325000,63,GK,64.0,60.0,55.0,66.0,37.0,60.0,Norway
A. Smith,325000,63,GK,64.0,58.0,61.0,68.0,22.0,61.0,England
S. van der Lei,325000,63,GK,65.0,60.0,61.0,69.0,46.0,58.0,Netherlands
M. Brouwer,325000,63,GK,66.0,62.0,60.0,63.0,26.0,58.0,Netherlands
R. Wulle,350000,63,GK,62.0,62.0,59.0,64.0,46.0,61.0,Germany
A. Meyer,325000,63,GK,68.0,60.0,68.0,67.0,26.0,49.0,Germany
A. Ivačič,350000,63,GK,64.0,65.0,60.0,65.0,38.0,63.0,Slovenia
A. Cadavid,325000,63,GK,64.0,58.0,52.0,66.0,49.0,63.0,Colombia
P. Heredia,300000,63,GK,63.0,64.0,57.0,65.0,43.0,61.0,Argentina
A. Chapman,300000,63,GK,66.0,60.0,57.0,65.0,32.0,62.0,England
A. Tarbell,325000,63,GK,62.0,64.0,59.0,70.0,29.0,61.0,United States
J. Coppens,300000,63,GK,66.0,61.0,57.0,68.0,42.0,55.0,Belgium
Kim Da Sol,290000,63,GK,61.0,61.0,66.0,64.0,37.0,65.0,Korea Republic
D. Moldovan,300000,63,GK,61.0,67.0,56.0,66.0,37.0,60.0,Romania
Mejías,290000,63,GK,63.0,64.0,65.0,64.0,55.0,62.0,Spain
Lee Bum Soo,300000,63,GK,65.0,62.0,59.0,64.0,60.0,62.0,Korea Republic
M. Sourzac,300000,63,GK,63.0,62.0,57.0,66.0,55.0,61.0,France
J. Muñoz,300000,63,GK,64.0,61.0,60.0,65.0,44.0,65.0,Chile
T. Okubo,300000,63,GK,56.0,56.0,57.0,68.0,28.0,69.0,Japan
M. Ratajczak,40000,63,GK,62.0,64.0,35.0,64.0,44.0,64.0,Germany
B. Roche,40000,63,GK,59.0,65.0,62.0,63.0,23.0,68.0,Republic of Ireland
P. Grünwald,60000,63,GK,62.0,63.0,65.0,61.0,35.0,63.0,Austria
C. Källqvist,100000,63,GK,55.0,65.0,64.0,59.0,23.0,66.0,Sweden
P. Heerwagen,60000,63,GK,64.0,62.0,54.0,63.0,35.0,63.0,Germany
Y. Gutiérrez,40000,63,GK,62.0,62.0,63.0,65.0,38.0,62.0,Mexico
D. Zibung,100000,63,GK,65.0,60.0,53.0,65.0,29.0,62.0,Switzerland
I. Austbø,160000,63,GK,62.0,60.0,63.0,63.0,27.0,61.0,Norway
G. Rogers,40000,63,GK,63.0,64.0,59.0,62.0,27.0,63.0,Republic of Ireland
B. Clarke,200000,63,GK,65.0,63.0,61.0,64.0,48.0,62.0,Republic of Ireland
C. Logan,200000,63,GK,62.0,58.0,61.0,66.0,29.0,61.0,Republic of Ireland
K. Letheren,240000,63,GK,62.0,62.0,62.0,61.0,32.0,61.0,Wales
G. Moss,60000,63,GK,66.0,59.0,61.0,61.0,40.0,61.0,New Zealand
L. Reddy,40000,63,GK,62.0,59.0,59.0,62.0,48.0,64.0,Australia
R. O'Donnell,250000,63,GK,62.0,61.0,62.0,62.0,52.0,61.0,England
M. Štěch,260000,63,GK,65.0,61.0,66.0,63.0,36.0,64.0,Czech Republic
C. Patterson-Sewell,220000,63,GK,64.0,60.0,65.0,65.0,29.0,65.0,United States
W. Abdullah,200000,63,GK,63.0,58.0,69.0,64.0,35.0,61.0,Saudi Arabia
C. Dobnik,220000,63,GK,65.0,59.0,63.0,63.0,42.0,65.0,Austria
A. Al Kassar,270000,63,GK,63.0,61.0,56.0,67.0,41.0,61.0,Saudi Arabia
M. Scholz,240000,63,GK,65.0,63.0,58.0,66.0,31.0,60.0,Germany
